season,week,id,score,isAvailable
2023,1,14778,66.9,1
2023,1,9431,50.5,1
2023,1,12801,46.0,1
2023,1,14782,45.3,1
2023,1,13214,38.9,1
2023,1,12611,38.3,1
2023,1,12688,38.1,1
2023,1,11348,36.5,1
2023,1,15241,36.2,1
2023,1,13737,34.0,1
2023,1,14840,33.8,1
2023,1,14182,32.5,1
2023,1,13760,31.5,1
2023,1,11644,30.2,1
2023,1,10700,29.8,1
2023,1,15698,29.6,1
2023,1,14779,29.2,1
2023,1,13404,28.8,1
2023,1,13319,28.4,1
2023,1,13130,27.3,1
2023,1,13116,27.2,1
2023,1,14897,27.1,1
2023,1,14148,26.9,1
2023,1,11760,26.2,1
2023,1,14836,26.0,1
2023,1,16244,25.0,1
2023,1,13303,24.6,1
2023,1,14909,24.5,1
2023,1,15904,24.3,1
2023,1,14171,24.2,1
2023,1,15237,24.1,1
2023,1,15846,24.1,1
2023,1,14167,24.1,1
2023,1,13224,24.0,1
2023,1,10703,23.9,1
2023,1,13888,23.4,1
2023,1,16152,22.5,1
2023,1,13837,22.5,1
2023,1,15836,22.5,1
2023,1,10789,22.0,1
2023,1,15380,22.0,1
2023,1,15301,21.8,1
2023,1,15817,21.5,1
2023,1,13590,21.0,1
2023,1,16080,21.0,1
2023,1,14210,20.9,1
2023,1,15712,20.8,1
2023,1,15452,20.2,1
2023,1,13693,20.0,1
2023,1,15349,19.7,1
2023,1,12221,19.3,1
2023,1,13696,18.7,1
2023,1,15754,18.4,1
2023,1,13610,18.4,1
2023,1,15708,18.4,1
2023,1,13113,18.3,1
2023,1,8851,18.3,1
2023,1,14127,18.2,1
2023,1,16018,18.0,1
2023,1,14157,17.5,1
2023,1,14842,17.4,1
2023,1,12186,17.4,1
2023,1,14807,17.2,1
2023,1,13208,17.1,1
2023,1,15441,17.0,1
2023,1,12626,16.8,1
2023,1,16211,16.8,1
2023,1,13307,16.5,1
2023,1,12083,16.4,1
2023,1,15352,16.2,1
2023,1,15393,16.2,1
2023,1,14978,16.1,1
2023,1,13767,16.0,1
2023,1,13714,16.0,1
2023,1,13953,16.0,1
2023,1,12620,15.8,1
2023,1,14163,15.6,1
2023,1,15811,15.5,1
2023,1,14158,15.4,1
2023,1,15253,15.3,1
2023,1,13252,15.3,1
